PlantID,Date,GrossInput_BBL,NetOutput_BBL,Emission_PPM,OperationalEfficiency_Pct
PLT-01,2024-01-01,103736.69,96891.38,37.593,93.4
PLT-02,2024-01-01,64304.57,59536.61,38.898,92.59
PLT-03,2024-01-01,77005.06,71932.32,40.43,93.41
PLT-04,2024-01-01,57217.65,50691.04,32.646,88.59
PLT-05,2024-01-01,44970.06,42676.14,37.892,94.9
PLT-01,2024-01-02,110537.01,103635.14,14.419,93.76
PLT-02,2024-01-02,60252.17,57403.08,18.017,95.27
PLT-03,2024-01-02,95878.44,91105.93,23.884,95.02
PLT-04,2024-01-02,65783.8,61192.24,43.006,93.02
PLT-05,2024-01-02,57912.5,55868.96,33.568,96.47
PLT-01,2024-01-03,119370.12,106008.45,18.056,88.81
PLT-02,2024-01-03,106131.34,101655.57,28.037,95.78
PLT-03,2024-01-03,97125.69,93054.2,13.553,95.81
PLT-04,2024-01-03,85916.03,82205.6,26.334,95.68
PLT-05,2024-01-03,64190.69,61084.73,24.088,95.16
PLT-01,2024-01-04,40253.94,38899.86,33.316,96.64
PLT-02,2024-01-04,105561.43,100734.86,14.391,95.43
PLT-03,2024-01-04,53668.82,48731.33,23.545,90.8
PLT-04,2024-01-04,92702.89,86777.5,29.805,93.61
PLT-05,2024-01-04,56901.1,52029.14,31.569,91.44
PLT-01,2024-01-05,77438.83,69033.34,36.882,89.15
PLT-02,2024-01-05,45844.14,41903.26,37.561,91.4
PLT-03,2024-01-05,41601.88,38743.77,24.043,93.13
PLT-04,2024-01-05,40706.55,36519.25,47.374,89.71
PLT-05,2024-01-05,81691.91,79220.77,30.893,96.98
PLT-01,2024-01-06,83514.91,76438.35,23.161,91.53
PLT-02,2024-01-06,60123.64,54767.1,28.555,91.09
PLT-03,2024-01-06,55359.36,49836.64,21.776,90.02
PLT-04,2024-01-06,75940.79,71289.66,42.821,93.88
PLT-05,2024-01-06,62970.55,56455.34,27.139,89.65
PLT-01,2024-01-07,111550.65,98263.57,37.903,88.09
